Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
04/07/16,02:45:00,14.6316,79.678,,,,
04/07/16,03:00:00,14.6311,79.502,,,,
04/07/16,03:15:00,14.6334,79.502,,,,
04/07/16,03:30:00,14.6287,79.502,,,,
04/07/16,03:45:00,14.6262,79.502,,,,
04/07/16,04:00:00,14.6311,79.502,,,,
04/07/16,04:15:00,14.6340,79.678,,,,
04/07/16,04:30:00,14.6316,79.678,,,,
04/07/16,04:45:00,14.6316,79.678,,,,
04/07/16,05:00:00,14.6340,79.678,,,,
04/07/16,05:15:00,14.6365,79.678,,,,
04/07/16,05:30:00,14.6365,79.678,,,,
04/07/16,05:45:00,14.6389,79.678,,,,
04/07/16,06:00:00,14.6414,79.678,,,,
04/07/16,06:15:00,14.6389,79.678,,,,
04/07/16,06:30:00,14.6414,79.678,,,,
04/07/16,06:45:00,14.6439,79.678,,,,
04/07/16,07:00:00,14.6414,79.678,,,,
04/07/16,07:15:00,14.6414,79.678,,,,
04/07/16,07:30:00,14.6443,79.853,,,,
04/07/16,07:45:00,14.6443,79.853,,,,
04/07/16,08:00:00,14.6474,80.029,,,,
04/07/16,08:15:00,14.6479,80.206,,,,
04/07/16,08:30:00,14.6436,80.382,,,,
04/07/16,08:45:00,14.6540,80.559,,,,
04/07/16,09:00:00,14.6545,80.735,,,,
04/07/16,09:15:00,14.6527,80.911,,,,
04/07/16,09:30:00,14.6581,81.090,,,,
04/07/16,09:45:00,14.6562,81.266,,,,
04/07/16,10:00:00,14.6524,81.621,,,,
04/07/16,10:15:00,14.6488,81.975,,,,
04/07/16,10:30:00,14.6450,82.330,,,,
04/07/16,10:45:00,14.6529,82.508,,,,
04/07/16,11:00:00,14.6529,82.508,,,,
04/07/16,11:15:00,14.6497,83.043,,,,
04/07/16,11:30:00,14.6484,83.399,,,,
04/07/16,11:45:00,14.6429,83.935,,,,
04/07/16,12:00:00,14.6436,83.399,,,,
04/07/16,12:15:00,14.6430,83.221,,,,
04/07/16,12:30:00,14.6337,83.399,,,,
04/07/16,12:45:00,14.6355,83.935,,,,
04/07/16,13:00:00,14.6288,84.115,,,,
04/07/16,13:15:00,14.6250,84.474,,,,
04/07/16,13:30:00,14.6262,84.834,,,,
04/07/16,13:45:00,14.6237,84.834,,,,
04/07/16,14:00:00,14.6218,85.014,,,,
04/07/16,14:15:00,14.6199,85.194,,,,
04/07/16,14:30:00,14.6165,84.834,,,,
04/07/16,14:45:00,14.6165,84.834,,,,
04/07/16,15:00:00,14.6110,84.654,,,,
04/07/16,15:15:00,14.6085,84.654,,,,
04/07/16,15:30:00,14.6079,84.474,,,,
04/07/16,15:45:00,14.5994,84.115,,,,
04/07/16,16:00:00,14.6037,83.935,,,,
04/07/16,16:15:00,14.6031,83.757,,,,
04/07/16,16:30:00,14.6014,83.221,,,,
04/07/16,16:45:00,14.6075,83.579,,,,
04/07/16,17:00:00,14.6057,83.043,,,,
04/07/16,17:15:00,14.6065,82.508,,,,
04/07/16,17:30:00,14.6108,82.330,,,,
04/07/16,17:45:00,14.6097,81.975,,,,
04/07/16,18:00:00,14.6140,81.797,,,,
04/07/16,18:15:00,14.6110,81.621,,,,
04/07/16,18:30:00,14.6153,81.442,,,,
04/07/16,18:45:00,14.6172,81.266,,,,
04/07/16,19:00:00,14.6191,81.090,,,,
04/07/16,19:15:00,14.6239,81.090,,,,
04/07/16,19:30:00,14.6258,80.911,,,,
04/07/16,19:45:00,14.6282,80.911,,,,
04/07/16,20:00:00,14.6276,80.735,,,,
04/07/16,20:15:00,14.6276,80.735,,,,
04/07/16,20:30:00,14.6375,80.735,,,,
04/07/16,20:45:00,14.6350,80.735,,,,
04/07/16,21:00:00,14.6369,80.559,,,,
04/07/16,21:15:00,14.6345,80.559,,,,
04/07/16,21:30:00,14.6388,80.382,,,,
04/07/16,21:45:00,14.6388,80.382,,,,
04/07/16,22:00:00,14.6358,80.206,,,,
04/07/16,22:15:00,14.6382,80.206,,,,
04/07/16,22:30:00,14.6382,80.206,,,,
04/07/16,22:45:00,14.6407,80.206,,,,
04/07/16,23:00:00,14.6333,80.206,,,,
04/07/16,23:15:00,14.6358,80.206,,,,
04/07/16,23:30:00,14.6358,80.206,,,,
04/07/16,23:45:00,14.6401,80.029,,,,
04/08/16,00:00:00,14.6376,80.029,,,,
04/08/16,00:15:00,14.6352,80.029,,,,
04/08/16,00:30:00,14.6424,80.029,,,,
04/08/16,00:45:00,14.6376,80.029,,,,
04/08/16,01:00:00,14.6352,80.029,,,,
04/08/16,01:15:00,14.6352,80.029,,,,
04/08/16,01:30:00,14.6327,80.029,,,,
04/08/16,01:45:00,14.6327,80.029,,,,
04/08/16,02:00:00,14.6302,80.029,,,,
04/08/16,02:15:00,14.6278,80.029,,,,
04/08/16,02:30:00,14.6321,79.853,,,,
04/08/16,02:45:00,14.6297,79.853,,,,
04/08/16,03:00:00,14.6321,79.853,,,,
04/08/16,03:15:00,14.6297,79.853,,,,
04/08/16,03:30:00,14.6297,79.853,,,,
04/08/16,03:45:00,14.6243,79.678,,,,
04/08/16,04:00:00,14.6243,79.678,,,,
04/08/16,04:15:00,14.6188,79.502,,,,
04/08/16,04:30:00,14.6188,79.502,,,,
04/08/16,04:45:00,14.6213,79.502,,,,
04/08/16,05:00:00,14.6218,79.678,,,,
04/08/16,05:15:00,14.6243,79.678,,,,
04/08/16,05:30:00,14.6268,79.678,,,,
04/08/16,05:45:00,14.6292,79.678,,,,
04/08/16,06:00:00,14.6311,79.502,,,,
04/08/16,06:15:00,14.6359,79.502,,,,
04/08/16,06:30:00,14.6384,79.502,,,,
04/08/16,06:45:00,14.6408,79.502,,,,
04/08/16,07:00:00,14.6433,79.502,,,,
